atr_stop_mult,atr_tp_mult,avg_r,best_r,ema_fast,ema_slow,expectancy_r,final_equity,max_drawdown,median_r,partial_tp_r_multiple,profit_factor,realized_pnl,return_pct,sharpe,total_pnl,trades,trail_activate_r_multiple,unrealized_pnl,win_rate,worst_r
1.5,2.0,-0.24974267496285918,-0.16798656107511323,13,50,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.24974267496285918,-0.16798656107511323,13,50,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,50,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,0.8,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,50,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,0.8,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,50,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,50,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.0,2.0,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,0.8,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.2,0.0,0.0,-0.4637904468412724
1.0,2.0,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,0.8,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.5,0.0,0.0,-0.4637904468412724
1.0,2.0,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,1.0,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.2,0.0,0.0,-0.4637904468412724
1.0,2.0,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,1.0,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.5,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,0.8,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.2,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,0.8,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.5,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,1.0,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.2,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.37461401244428955,-0.2519798416126723,13,89,-0.37461401244428955,988.8135838985955,11.186416101404461,-0.408071748878924,1.0,0,0.0,-1.1186416101404462,-7.181243787654326,-11.186416101404557,3,1.5,0.0,0.0,-0.4637904468412724
1.5,2.0,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,0.8,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,0.8,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,0.8,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,0.8,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.2,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.24974267496285918,-0.16798656107511323,13,89,-0.24974267496285918,992.5333372315669,7.466662768433139,-0.27204783258595255,1.0,0,0.0,-0.7466662768433139,-7.200027622480985,-7.466662768433105,3,1.5,0.0,0.0,-0.30919363122751176
1.0,2.0,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,0.8,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.2,0.0,0.0,-0.4637904468412724
1.0,2.0,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,0.8,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.5,0.0,0.0,-0.4637904468412724
1.0,2.0,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,1.0,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.2,0.0,0.0,-0.4637904468412724
1.0,2.0,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,1.0,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.5,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,0.8,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.2,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,0.8,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.5,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,1.0,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.2,0.0,0.0,-0.4637904468412724
1.0,2.5,-0.4359310978600982,-0.408071748878924,21,50,-0.4359310978600982,991.3089848096012,8.691015190398844,-0.4359310978600982,1.0,0,0.0,-0.8691015190398844,-22.85661079699136,-8.69101519039895,2,1.5,0.0,0.0,-0.4637904468412724
1.5,2.0,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,0.8,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.2,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,0.8,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.5,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,1.0,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.2,0.0,0.0,-0.30919363122751176
1.5,2.0,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,1.0,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.5,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,0.8,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.2,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,0.8,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.5,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,1.0,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.2,0.0,0.0,-0.30919363122751176
1.5,2.5,-0.29062073190673215,-0.27204783258595255,21,50,-0.29062073190673215,994.2017925075461,5.798207492453912,-0.29062073190673215,1.0,0,0.0,-0.5798207492453913,-22.608461874149786,-5.798207492453926,2,1.5,0.0,0.0,-0.30919363122751176
